fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,720.0,37.04,37.21,84.0,54.0,37.16,0.0,0.9964,0.0008,-0.0149,0.0016,0.0,84.0,11.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,720.0,0.0,0.01,0.0,2786.0,0.01,0.8607,-0.0036,0.0008,-0.0149,0.0016,0.0,512.0,19970.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,721.0,36.06,36.21,83.0,54.0,36.63,0.8933,0.9964,0.0008,-0.015,0.0016,0.0,185.0,0.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,721.0,0.0,0.01,0.0,2787.0,0.04,0.8389,-0.0036,0.0008,-0.015,0.0016,0.0,0.0,22309.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,722.0,35.06,35.21,86.0,86.0,35.16,0.8703,0.9962,0.0008,-0.0151,0.0017,0.0,77.0,4.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,722.0,0.0,0.01,0.0,3287.0,0.01,0.8171,-0.0038,0.0008,-0.0151,0.0017,0.0,60.0,2491.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,723.0,34.06,34.2,74.0,60.0,34.63,0.7953,0.9961,0.0009,-0.0151,0.0017,0.0,39.0,3.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,723.0,0.0,0.01,0.0,3287.0,0.01,0.7953,-0.0039,0.0009,-0.0151,0.0017,0.0,701.0,805.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,724.0,33.06,33.21,53.0,54.0,33.42,0.8242,0.996,0.0009,-0.0152,0.0018,0.0,21.0,6.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,724.0,0.0,0.01,0.0,3287.0,0.01,0.7734,-0.004,0.0009,-0.0152,0.0018,0.0,505.0,1796.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,725.0,32.06,32.21,54.0,53.0,32.47,0.8012,0.9959,0.001,-0.0153,0.0018,0.0,58.0,27.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,725.0,0.0,0.01,0.0,3391.0,0.01,0.7516,-0.0041,0.001,-0.0153,0.0018,0.0,124.0,1196.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,726.0,31.06,31.24,106.0,106.0,31.2,0.8568,0.9958,0.001,-0.0154,0.0019,0.0,87.0,10.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,726.0,0.0,0.01,0.0,4709.0,0.01,0.7297,-0.0042,0.001,-0.0154,0.0019,0.0,105.0,16496.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,727.0,30.06,30.23,54.0,53.0,30.12,0.8113,0.9956,0.0011,-0.0154,0.0019,0.0,77.0,9.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,727.0,0.0,0.01,0.0,4680.0,0.01,0.7078,-0.0044,0.0011,-0.0154,0.0019,0.0,139.0,29180.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,728.0,29.06,29.21,95.0,54.0,29.33,0.7319,0.9955,0.0012,-0.0155,0.002,0.0,56.0,10.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,728.0,0.0,0.01,0.0,3286.0,0.01,0.6859,-0.0045,0.0012,-0.0155,0.002,0.0,486.0,1126.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,729.0,28.06,28.24,93.0,93.0,28.56,0.7817,0.9954,0.0012,-0.0156,0.0021,0.0,221.0,11.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,729.0,0.0,0.01,0.0,3391.0,0.01,0.664,-0.0046,0.0012,-0.0156,0.0021,0.0,3998.0,1595.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,730.0,27.06,27.21,58.0,59.0,27.76,0.6855,0.9952,0.0013,-0.0156,0.0021,0.0,143.0,64.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,730.0,0.0,0.01,0.0,4585.0,0.01,0.642,-0.0048,0.0013,-0.0156,0.0021,0.0,21230.0,19303.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,731.0,26.06,26.24,58.0,59.0,26.76,0.7313,0.995,0.0014,-0.0157,0.0022,0.0,86.0,9.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,731.0,0.0,0.01,0.0,3286.0,0.01,0.62,-0.005,0.0014,-0.0157,0.0022,0.0,6637.0,18305.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,732.0,25.06,25.24,95.0,95.0,25.36,0.7061,0.9949,0.0015,-0.0158,0.0023,0.0,65.0,8.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,732.0,0.0,0.01,0.0,4512.0,0.01,0.598,-0.0051,0.0015,-0.0158,0.0023,0.0,7569.0,6051.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,C,733.0,24.06,24.21,97.0,59.0,24.6,0.6157,0.9947,0.0016,-0.0159,0.0024,0.0,57.0,1.0
2026-09-15 13:22:21,2026-09-15T13:06:31,757.14,2026-09-15,P,733.0,0.0,0.01,0.0,5350.0,0.01,0.5759,-0.0053,0.0016,-0.0159,0.0024,0.0,2232.0,1432.0
