fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,724.0,37.71,37.93,33.0,22.0,40.14,0.9905,0.9972,0.0006,-0.0116,0.0014,0.0,13.0,0.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,724.0,0.0,0.01,0.0,2317.0,0.01,0.8292,-0.0028,0.0006,-0.0116,0.0014,0.0,0.0,184.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,725.0,36.71,36.93,33.0,22.0,37.16,0.9666,0.9971,0.0006,-0.0116,0.0014,0.0,12.0,6.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,725.0,0.0,0.01,0.0,2317.0,0.02,0.8085,-0.0029,0.0006,-0.0116,0.0014,0.0,0.0,396.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,726.0,35.72,35.93,32.0,32.0,37.55,0.9594,0.997,0.0007,-0.0116,0.0015,0.0,9.0,0.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,726.0,0.0,0.01,0.0,2316.0,0.03,0.7879,-0.003,0.0007,-0.0116,0.0015,0.0,0.0,581.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,727.0,34.71,34.91,32.0,32.0,36.65,0.8788,0.9969,0.0007,-0.0117,0.0015,0.0,6.0,0.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,727.0,0.0,0.01,0.0,2316.0,0.01,0.7672,-0.0031,0.0007,-0.0117,0.0015,0.0,1.0,316.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,728.0,33.71,33.91,32.0,22.0,35.06,0.8557,0.9968,0.0008,-0.0117,0.0015,0.0,11.0,0.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,728.0,0.0,0.01,0.0,2245.0,0.01,0.7465,-0.0032,0.0008,-0.0117,0.0015,0.0,35.0,391.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,729.0,32.72,32.91,32.0,32.0,35.02,0.8529,0.9968,0.0008,-0.0118,0.0016,0.0,13.0,0.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,P,729.0,0.0,0.01,0.0,2315.0,0.02,0.7259,-0.0032,0.0008,-0.0118,0.0016,0.0,0.0,412.0
2026-09-01 13:02:14,2026-09-01T12:46:16,761.83,2026-09-01,C,730.0,31.72,31.91,32.0,32.0,33.81,0.8292,0.9966,0.0008,-0.0118,0.0016,0.0,5.0,5.0
