fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,735.0,38.27,38.47,59.0,70.0,38.58,1.2004,0.9964,0.0007,-0.0158,0.0017,0.0,12.0,13.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,735.0,0.0,0.01,0.0,7575.0,0.01,0.8711,-0.0036,0.0007,-0.0158,0.0017,0.0,1.0,1861.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,736.0,37.28,37.46,36.0,70.0,37.64,1.1726,0.9963,0.0008,-0.0159,0.0017,0.0,27.0,24.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,736.0,0.0,0.01,0.0,7575.0,0.01,0.8497,-0.0037,0.0008,-0.0159,0.0017,0.0,1.0,3059.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,737.0,36.27,36.49,59.0,71.0,36.53,1.169,0.9962,0.0008,-0.016,0.0018,0.0,12.0,6.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,737.0,0.0,0.01,0.0,7576.0,0.01,0.8283,-0.0038,0.0008,-0.016,0.0018,0.0,3.0,4125.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,738.0,35.28,35.49,66.0,118.0,35.47,1.1407,0.9961,0.0009,-0.016,0.0018,0.0,50.0,20.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,738.0,0.0,0.01,0.0,8076.0,0.01,0.8069,-0.0039,0.0009,-0.016,0.0018,0.0,34.0,583.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,739.0,34.28,34.46,36.0,71.0,34.05,1.0889,0.996,0.0009,-0.0161,0.0018,0.0,167.0,52.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,739.0,0.0,0.01,0.0,8076.0,0.01,0.7854,-0.004,0.0009,-0.0161,0.0018,0.0,1.0,1050.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,740.0,33.28,33.44,66.0,71.0,33.05,1.0764,0.9958,0.001,-0.0162,0.0019,0.0,64.0,80.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,740.0,0.0,0.01,0.0,8075.0,0.01,0.764,-0.0042,0.001,-0.0162,0.0019,0.0,29.0,18716.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,741.0,32.27,32.46,59.0,234.0,32.47,1.0329,0.9957,0.001,-0.0162,0.0019,0.0,109.0,3.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,741.0,0.0,0.01,0.0,8076.0,0.01,0.7425,-0.0043,0.001,-0.0162,0.0019,0.0,5.0,5838.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,742.0,31.28,31.46,84.0,273.0,31.6,1.0048,0.9956,0.0011,-0.0163,0.002,0.0,536.0,4.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,742.0,0.0,0.01,0.0,8076.0,0.01,0.721,-0.0044,0.0011,-0.0163,0.002,0.0,3.0,5966.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,743.0,30.28,30.46,66.0,70.0,30.16,0.9766,0.9954,0.0011,-0.0164,0.0021,0.0,19.0,2.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,743.0,0.0,0.01,0.0,8075.0,0.01,0.6995,-0.0046,0.0011,-0.0164,0.0021,0.0,15.0,1400.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,744.0,29.27,29.46,83.0,131.0,29.57,0.9409,0.9953,0.0012,-0.0165,0.0021,0.0,141.0,25.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,744.0,0.0,0.01,0.0,8076.0,0.01,0.6779,-0.0047,0.0012,-0.0165,0.0021,0.0,118.0,673.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,745.0,28.27,28.46,59.0,180.0,28.18,0.9128,0.9952,0.0013,-0.0166,0.0022,0.0,59.0,31.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,745.0,0.0,0.01,0.0,8076.0,0.01,0.6564,-0.0048,0.0013,-0.0166,0.0022,0.0,117.0,11538.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,746.0,27.27,27.47,59.0,70.0,27.52,0.8918,0.995,0.0013,-0.0166,0.0022,0.0,19.0,36.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,746.0,0.0,0.01,0.0,8075.0,0.01,0.6348,-0.005,0.0013,-0.0166,0.0022,0.0,5.0,1025.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,747.0,26.28,26.46,68.0,70.0,25.86,0.8634,0.9948,0.0014,-0.0167,0.0023,0.0,141.0,36.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,747.0,0.0,0.01,0.0,8076.0,0.01,0.6132,-0.0052,0.0014,-0.0167,0.0023,0.0,1190.0,1103.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,748.0,25.28,25.46,37.0,71.0,25.31,0.8349,0.9946,0.0015,-0.0168,0.0024,0.0,790.0,20.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,748.0,0.0,0.01,0.0,8075.0,0.01,0.5915,-0.0054,0.0015,-0.0168,0.0024,0.0,374.0,854.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,749.0,24.28,24.46,38.0,70.0,24.14,0.8063,0.9944,0.0016,-0.0169,0.0025,0.0,248.0,4.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,749.0,0.0,0.01,0.0,8075.0,0.01,0.5698,-0.0056,0.0016,-0.0169,0.0025,0.0,1517.0,775.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,750.0,23.28,23.35,45.0,60.0,23.52,0.6984,0.9942,0.0018,-0.017,0.0026,0.0,232.0,205.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,750.0,0.0,0.01,0.0,8145.0,0.01,0.5481,-0.0058,0.0018,-0.017,0.0026,0.0,6571.0,13036.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,751.0,22.28,22.35,99.0,100.0,22.54,0.6719,0.994,0.0019,-0.017,0.0027,0.0,179.0,37.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,751.0,0.0,0.01,0.0,8145.0,0.01,0.5263,-0.006,0.0019,-0.017,0.0027,0.0,6060.0,7169.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,752.0,21.28,21.35,67.0,100.0,21.34,0.6453,0.9937,0.002,-0.0171,0.0028,0.0,1261.0,488.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,752.0,0.0,0.01,0.0,8145.0,0.01,0.5045,-0.0063,0.002,-0.0171,0.0028,0.0,1477.0,953.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,753.0,20.29,20.35,35.0,104.0,20.43,0.6277,0.9934,0.0022,-0.0172,0.0029,0.0,172.0,227.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,753.0,0.0,0.01,0.0,8145.0,0.01,0.4826,-0.0066,0.0022,-0.0172,0.0029,0.0,778.0,768.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,754.0,19.29,19.35,36.0,100.0,19.48,0.6006,0.9932,0.0024,-0.0173,0.003,0.0,167.0,315.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,754.0,0.0,0.01,0.0,8145.0,0.01,0.4607,-0.0068,0.0024,-0.0173,0.003,0.0,2626.0,1178.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,755.0,18.28,18.35,48.0,100.0,18.61,0.5649,0.9928,0.0026,-0.0174,0.0032,0.0,159.0,1429.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,755.0,0.01,0.02,5515.0,8302.0,0.01,0.4918,-0.0072,0.0026,-0.0174,0.0032,0.0,10559.0,3753.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,756.0,17.29,17.35,38.0,100.0,17.45,0.5536,0.9925,0.0029,-0.0174,0.0033,0.0,175.0,265.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,756.0,0.0,0.01,0.0,8145.0,0.01,0.4167,-0.0075,0.0029,-0.0174,0.0033,0.0,3263.0,2672.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,757.0,16.29,16.35,40.0,100.0,16.53,0.5185,0.9921,0.0032,-0.0175,0.0035,0.0,286.0,626.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,757.0,0.01,0.02,6193.0,8302.0,0.02,0.4433,-0.0079,0.0032,-0.0175,0.0035,0.0,1601.0,1743.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,758.0,15.29,15.35,44.0,100.0,15.45,0.498,0.9916,0.0035,-0.0176,0.0036,0.0,137.0,1130.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,758.0,0.01,0.02,6075.0,7996.0,0.02,0.4189,-0.0084,0.0035,-0.0176,0.0036,0.0,1287.0,6024.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,759.0,14.29,14.35,47.0,100.0,14.48,0.4699,0.9911,0.004,-0.0177,0.0038,0.0,155.0,2379.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,759.0,0.01,0.02,8155.0,8155.0,0.01,0.3944,-0.0089,0.004,-0.0177,0.0038,0.0,4259.0,2739.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,760.0,13.29,13.35,52.0,66.0,13.46,0.4416,0.9905,0.0044,-0.0178,0.0041,0.0,421.0,1842.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,760.0,0.01,0.02,8158.0,8158.0,0.01,0.3697,-0.0095,0.0044,-0.0178,0.0041,0.0,10656.0,5482.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,761.0,12.29,12.35,43.0,100.0,12.46,0.4131,0.9899,0.005,-0.0179,0.0044,0.0,105.0,2147.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,761.0,0.01,0.02,8006.0,8006.0,0.01,0.3449,-0.0101,0.005,-0.0179,0.0044,0.0,2023.0,4487.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,762.0,11.29,11.35,53.0,64.0,11.51,0.3844,0.9891,0.0058,-0.0181,0.0047,0.0,257.0,2538.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,762.0,0.01,0.02,8011.0,8011.0,0.01,0.3199,-0.0109,0.0058,-0.0181,0.0047,0.0,1869.0,3599.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,763.0,10.29,10.35,69.0,100.0,10.7,0.3499,0.9882,0.0067,-0.0184,0.005,0.0,492.0,1742.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,763.0,0.01,0.02,8048.0,8048.0,0.02,0.2948,-0.0118,0.0067,-0.0184,0.005,0.0,2859.0,2046.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,764.0,9.29,9.36,101.0,152.0,9.37,0.3261,0.987,0.008,-0.0188,0.0055,0.0,671.0,1685.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,764.0,0.01,0.02,8061.0,8031.0,0.01,0.2694,-0.013,0.008,-0.0188,0.0055,0.0,4656.0,4646.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,765.0,8.3,8.36,37.0,152.0,8.49,0.301,0.9853,0.0097,-0.0196,0.0061,0.0,2256.0,5303.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,765.0,0.02,0.03,2975.0,7914.0,0.02,0.2616,-0.0147,0.0097,-0.0196,0.0061,0.0,9122.0,6950.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,766.0,7.3,7.36,62.0,127.0,7.35,0.2706,0.9828,0.0123,-0.0211,0.007,0.0,750.0,3540.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,766.0,0.02,0.03,4411.0,7717.0,0.03,0.2343,-0.0172,0.0123,-0.0211,0.007,0.0,15739.0,5660.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,767.0,6.32,6.33,70.0,155.0,6.33,0.218,0.9788,0.0164,-0.0241,0.0085,0.0,3109.0,3690.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,767.0,0.02,0.03,7017.0,7614.0,0.02,0.2065,-0.0212,0.0164,-0.0241,0.0085,0.0,31837.0,9440.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,768.0,5.33,5.34,1.0,143.0,5.55,0.193,0.9716,0.0234,-0.03,0.0108,0.0,3690.0,6459.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,768.0,0.03,0.04,369.0,7145.0,0.03,0.1886,-0.0284,0.0234,-0.03,0.0108,0.0,82614.0,8998.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,769.0,4.34,4.35,107.0,142.0,4.38,0.1696,0.9585,0.0359,-0.0414,0.0146,0.0,5390.0,6059.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,769.0,0.03,0.04,5994.0,5476.0,0.03,0.1585,-0.0415,0.0359,-0.0414,0.0146,0.0,171308.0,8504.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,770.0,3.35,3.36,171.0,14.0,3.33,0.1452,0.9339,0.0588,-0.0629,0.0209,0.0,17511.0,7359.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,770.0,0.05,0.06,3680.0,3243.0,0.05,0.1399,-0.0661,0.0588,-0.0629,0.0209,0.0,250277.0,13776.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,771.0,2.4,2.41,92.0,185.0,2.4,0.1267,0.8854,0.1021,-0.1059,0.031,0.0,23167.0,5193.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,771.0,0.09,0.1,2896.0,1647.0,0.1,0.1215,-0.1146,0.1021,-0.1059,0.031,0.0,196748.0,6847.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,772.0,1.51,1.52,109.0,178.0,1.51,0.1117,0.7793,0.1787,-0.2107,0.0461,0.0,90481.0,9313.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,772.0,0.2,0.21,1448.0,987.0,0.21,0.1084,-0.2207,0.1787,-0.2107,0.0461,0.0,401650.0,10495.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,773.0,0.77,0.78,300.0,264.0,0.77,0.104,0.5717,0.2565,-0.4831,0.0595,0.0,262300.0,9151.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,P,773.0,0.47,0.48,753.0,287.0,0.47,0.0998,-0.4283,0.2565,-0.4831,0.0595,0.0,579829.0,9368.0
2026-09-22 13:24:43,2026-09-22T13:08:34,773.28,2026-09-22,C,774.0,0.31,0.32,1567.0,85.0,0.32,0.101,0.3173,0.2341,-0.3128,0.0545,0.0,502175.0,11764.0
