fetched_at_et,quote_ts,spot,expiry,type,strike,bid,ask,bid_size,ask_size,last_trade_price,iv,delta,gamma,theta,vega,rho,volume,open_interest
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,728.0,36.68,38.98,18.0,16.0,35.82,1.03,0.998,0.0005,-0.0076,0.0014,0.0,0.0,147.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,728.0,0.0,0.01,0.0,1112.0,0.02,0.6,-0.002,0.0005,-0.0076,0.0014,0.0,0.0,4492.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,729.0,35.68,37.97,18.0,18.0,35.3,1.0071,0.9979,0.0005,-0.0077,0.0015,0.0,0.0,192.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,729.0,0.0,0.01,0.0,623.0,0.01,0.585,-0.0021,0.0005,-0.0077,0.0015,0.0,6.0,5922.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,730.0,35.36,35.78,16.0,16.0,33.99,0.8303,0.9978,0.0005,-0.0078,0.0015,0.0,0.0,19462.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,730.0,0.0,0.01,0.0,1371.0,0.01,0.57,-0.0022,0.0005,-0.0078,0.0015,0.0,6.0,54142.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,731.0,33.68,35.97,18.0,7.0,32.97,0.9808,0.9978,0.0006,-0.0079,0.0016,0.0,0.0,183.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,731.0,0.0,0.01,0.0,1364.0,0.01,0.555,-0.0022,0.0006,-0.0079,0.0016,0.0,1.0,4464.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,732.0,33.38,33.78,8.0,18.0,32.16,0.7896,0.9977,0.0006,-0.008,0.0016,0.0,0.0,343.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,732.0,0.0,0.01,0.0,436.0,0.02,0.54,-0.0023,0.0006,-0.008,0.0016,0.0,0.0,6251.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,733.0,32.36,32.78,11.0,18.0,30.83,0.7942,0.9976,0.0006,-0.0081,0.0017,0.0,0.0,356.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,733.0,0.0,0.01,0.0,393.0,0.02,0.5249,-0.0024,0.0006,-0.0081,0.0017,0.0,0.0,6062.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,734.0,31.37,31.78,18.0,18.0,29.89,0.7399,0.9975,0.0007,-0.0082,0.0018,0.0,0.0,722.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,734.0,0.0,0.01,0.0,323.0,0.04,0.5099,-0.0025,0.0007,-0.0082,0.0018,0.0,0.0,7497.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,C,735.0,30.37,30.78,18.0,16.0,30.74,0.7366,0.9974,0.0007,-0.0083,0.0018,0.0,1.0,11171.0
2026-08-21 09:45:23,2026-08-21T09:30:15,765.64,2026-08-21,P,735.0,0.0,0.01,0.0,393.0,0.01,0.4948,-0.0026,0.0007,-0.0083,0.0018,0.0,23.0,50404.0
