date,quote_ts,minute,hold_min,type,move_pts,paid,got,ret_pct
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-2.0,2.47,1.1963999999999897,-51.56275303643767
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-1.75,2.47,1.2913999999999897,-47.71659919028382
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-1.5,2.47,1.3863999999999896,-43.870445344129976
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-1.25,2.47,1.4843999999999868,-39.902834008097706
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-1.0,2.47,1.604399999999987,-35.044534412956
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-0.75,2.47,1.7243999999999868,-30.186234817814306
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-0.5,2.47,1.844399999999987,-25.327935222672597
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,-0.25,2.47,1.9667999999999846,-20.372469635628164
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,0.0,2.47,2.1067999999999847,-14.704453441296172
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,0.25,2.47,2.2467999999999844,-9.036437246964203
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,0.5,2.47,2.3867999999999845,-3.3684210526322147
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,0.75,2.47,2.528899999999983,2.3846153846146816
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,1.0,2.47,2.6863999999999826,8.761133603238152
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,1.25,2.47,2.8438999999999828,15.137651821861642
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,1.5,2.47,3.001399999999983,21.51417004048513
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,1.75,2.47,3.160999999999981,27.97570850202351
2026-07-17,2026-07-17 09:34:11-04:00,574,15,C,2.0,2.47,3.3359999999999808,35.06072874493848
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-2.0,2.18,1.1888000000000079,-45.467889908256524
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-1.75,2.18,1.2613000000000079,-42.14220183486203
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-1.5,2.18,1.3514000000000101,-38.009174311926145
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-1.25,2.18,1.44390000000001,-33.766055045871106
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-1.0,2.18,1.53640000000001,-29.522935779816063
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-0.75,2.18,1.62890000000001,-25.279816513761016
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-0.5,2.18,1.7346000000000117,-20.43119266054993
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,-0.25,2.18,1.8421000000000116,-15.499999999999472
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,0.0,2.18,1.9496000000000115,-10.568807339449018
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,0.25,2.18,2.0571000000000117,-5.6376146788985535
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,0.5,2.18,2.1822000000000137,0.10091743119328092
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,0.75,2.18,2.309700000000014,5.949541284404307
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,1.0,2.18,2.437200000000014,11.798165137615314
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,1.25,2.18,2.564700000000014,17.64678899082632
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,1.5,2.18,2.716400000000017,24.605504587156734
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,1.75,2.18,2.871400000000017,31.715596330275993
2026-07-17,2026-07-17 09:34:11-04:00,574,15,P,2.0,2.18,3.026400000000017,38.82568807339527
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-2.0,2.47,0.9943999999999893,-59.740890688259555
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-1.75,2.47,1.0793999999999893,-56.29959514170084
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-1.5,2.47,1.1819999999999857,-52.14574898785484
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-1.25,2.47,1.2944999999999858,-47.591093117409486
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-1.0,2.47,1.4069999999999858,-43.03643724696414
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-0.75,2.47,1.5194999999999856,-38.4817813765188
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-0.5,2.47,1.6463999999999828,-33.34412955465657
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,-0.25,2.47,1.7813999999999828,-27.878542510122163
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,0.0,2.47,1.9163999999999828,-22.412955465587746
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,0.25,2.47,2.051399999999983,-16.947368421053337
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,0.5,2.47,2.20079999999998,-10.898785425102027
2026-07-17,2026-07-17 09:34:11-04:00,574,30,C,0.75,2.47,2.35829999999998,-4.522267206478555
